 VARIABLES = "X", "Computed"
 ZONE I=  9, J=1, K=1,F=POINT
     0.000000     0.000000
     1.250000     7.173038
     2.500000     9.110959
     3.750000     9.768849
     5.000000     9.998682
     6.250000    10.226617
     7.500000    10.874214
     8.750000    12.780496
    10.000000    19.835844
 VARIABLES = "X", "Exact"
 ZONE I=  9, J=1, K=1,F=POINT
           0.000000           0.000000
           1.250000           7.136407
           2.500000           9.184643
           3.750000           9.784116
           5.000000           9.999994
           6.250000          10.215861
           7.500000          10.815282
           8.750000          12.863333
          10.000000          19.999092
